SampleID	group	timepoint_cat	group_timepoint	timepoint	week_cat	date	swab_location	enclosure 	substrate	solo_group	treatment
PR01	exhibit control	wild	exhibit control wild	1	A	3/27/15	Dorsal	AR2T1	Wet paper towel	Group	Ivermectin
PR02	exhibit control	wild	exhibit control wild	1	A	3/27/15	Dorsal & Ventral	AR2T1	Wet paper towel	Group	Ivermectin
PR03	exhibit control	wild	exhibit control wild	1	A	3/27/15	Dorsal	AR2T1	Wet paper towel	Group	Ivermectin
PR04	exhibit control	wild	exhibit control wild	1	A	3/27/15	Dorsal	AR2T1	Wet paper towel	Group	Ivermectin
PF01	wild	wild	wild wild	1	A	3/31/15	Dorsal & Ventral	wild	Tall grass near pond	Solo	None
PF02	wild	wild	wild wild	1	A	3/31/15	Dorsal & Ventral	wild	Tall grass near pond	Solo	None
PF03	wild	wild	wild wild	1	A	3/31/15	Dorsal & Ventral	wild	Tall grass near pond	Solo	None
PF04	wild	wild	wild wild	1	A	3/31/15	Dorsal & Ventral	wild	Tall grass near pond	Solo	None
PF05	wild	wild	wild wild	1	A	3/31/15	Dorsal & Ventral	wild	Other	Solo	None
PF06	wild	wild	wild wild	1	A	3/31/15	Dorsal & Ventral	wild	Tall grass near pond	Solo	None
PF07	wild	wild	wild wild	1	A	3/31/15	Dorsal & Ventral	wild	Tall grass near pond	Solo	None
PF08	wild	wild	wild wild	1	A	3/31/15	Dorsal & Ventral	wild	Tall grass near pond	Solo	None
PF09	wild	wild	wild wild	1	A	3/31/15	Dorsal & Ventral	wild	Tall grass near pond	Solo	None
PF10	wild	wild	wild wild	1	A	3/31/15	Dorsal & Ventral	wild	Tall grass near pond	Solo	None
PF01a	transport	transport	transport transport	2	B	4/2/15	Dorsal & Ventral	Transport tub	Wet paper towel & wet leaves	Solo	None
PF02a	transport	transport	transport transport	2	B	4/2/15	Dorsal & Ventral	Transport tub	Wet paper towel & wet leaves	Solo	None
PF03a	transport	transport	transport transport	2	B	4/2/15	Dorsal & Ventral	Transport tub	Wet paper towel & wet leaves	Solo	None
PF04a	transport	transport	transport transport	2	B	4/2/15	Dorsal & Ventral	Transport tub	Wet paper towel & wet leaves	Solo	None
PF05a	transport	transport	transport transport	2	B	4/2/15	Dorsal & Ventral	Transport tub	Wet paper towel & wet leaves	Solo	None
PF06a	transport	transport	transport transport	2	B	4/2/15	Dorsal & Ventral	Transport tub	Wet paper towel & wet leaves	Solo	None
PF07a	transport	transport	transport transport	2	B	4/2/15	Dorsal & Ventral	Transport tub	Wet paper towel & wet leaves	Solo	None
PF08a	transport	transport	transport transport	2	B	4/2/15	Dorsal & Ventral	Transport tub	Wet paper towel & wet leaves	Solo	None
PF09a	transport	transport	transport transport	2	B	4/2/15	Dorsal & Ventral	Transport tub	Wet paper towel & wet leaves	Solo	None
PF10a	transport	transport	transport transport	2	B	4/2/15	Dorsal & Ventral	Transport tub	Wet paper towel & wet leaves	Solo	None
PQ01	quarantine	quarantine week 1	quarantine quarantine week 1	3	C	4/8/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	None
PQ02	quarantine	quarantine week 1	quarantine quarantine week 1	3	C	4/8/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	None
PQ03	quarantine	quarantine week 1	quarantine quarantine week 1	3	C	4/8/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	None
PQ04	quarantine	quarantine week 1	quarantine quarantine week 1	3	C	4/8/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	None
PQ05	quarantine	quarantine week 1	quarantine quarantine week 1	3	C	4/8/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	None
PQ06	quarantine	quarantine week 1	quarantine quarantine week 1	3	C	4/8/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	None
PQ07	quarantine	quarantine week 1	quarantine quarantine week 1	3	C	4/8/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	None
PQ08	quarantine	quarantine week 1	quarantine quarantine week 1	3	C	4/8/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	None
PQ09	quarantine	quarantine week 1	quarantine quarantine week 1	3	C	4/8/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	None
PQ10	quarantine	quarantine week 1	quarantine quarantine week 1	3	C	4/8/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	None
PR05	exhibit control	quarantine week 1	exhibit control quarantine week 1	3	C	4/10/15	Dorsal & Ventral	AR2T1	Eco earth/coco fiber	Group	Ivermectin & Levamisole
PR06	exhibit control	quarantine week 1	exhibit control quarantine week 1	3	C	4/10/15	Dorsal & Ventral	AR2T1	Eco earth/coco fiber	Group	Ivermectin & Levamisole
PR07	exhibit control	quarantine week 1	exhibit control quarantine week 1	3	C	4/10/15	Dorsal & Ventral	AR2T1	Eco earth/coco fiber	Group	Ivermectin & Levamisole
PR08	exhibit control	quarantine week 1	exhibit control quarantine week 1	3	C	4/10/15	Dorsal & Ventral	AR2T1	Eco earth/coco fiber	Group	Ivermectin & Levamisole
PQ11	quarantine	quarantine week 2	quarantine quarantine week 2	4	D	4/15/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	Ivermectin
